Month_Start,Store ID,Product ID,Demand Forecast,Units Sold,Units Ordered,Price,Competitor Pricing,Discount,Inventory Level,Holiday/Promotion,Category,Region,Weather_Cloudy,Weather_Rainy,Weather_Snowy,Weather_Sunny
2022-01-01,S001,P0018,1809.94,1773,1170,50.00666666666667,49.34833333333333,12.083333333333334,274.75,9,Clothing,South,6,1,2,3
2022-01-01,S001,P0019,1528.34,1442,1332,64.01083333333334,65.05166666666666,10.416666666666666,263.5,4,Clothing,East,6,1,2,3
2022-01-01,S001,P0020,1972.99,1909,1405,60.56666666666666,58.905833333333334,12.083333333333334,281.0,5,Toys,East,5,2,2,3
2022-01-01,S002,P0001,1628.46,1555,1425,57.805,58.01499999999999,13.75,284.5,4,Groceries,South,3,3,2,4
2022-01-01,S002,P0002,1537.04,1503,1271,61.63166666666666,61.553333333333335,10.0,215.16666666666666,5,Clothing,West,3,4,3,2
2022-01-01,S002,P0003,2131.57,2080,1338,44.285833333333336,43.0325,7.5,270.8333333333333,8,Furniture,East,4,4,2,2
2022-01-01,S002,P0004,1685.16,1637,1381,59.9975,60.61166666666667,11.25,288.25,6,Toys,West,5,2,3,2
2022-01-01,S002,P0005,2313.11,2241,1140,55.192499999999995,55.77166666666667,13.75,297.25,4,Toys,West,4,3,2,3
2022-01-01,S002,P0006,1936.8400000000001,1910,1151,66.77583333333334,68.18333333333334,8.75,234.16666666666666,8,Furniture,North,3,2,3,4
2022-01-01,S002,P0007,1500.15,1467,1358,55.665,55.660833333333336,7.5,263.4166666666667,7,Groceries,West,4,1,2,5
2022-01-01,S002,P0008,1174.08,1126,1354,64.145,63.48,10.833333333333334,263.5,4,Electronics,West,3,4,4,1
2022-01-01,S002,P0009,1068.32,1022,1460,71.47500000000001,71.98333333333333,9.166666666666666,312.8333333333333,7,Clothing,South,2,4,3,3
2022-01-01,S002,P0010,2132.34,2053,1495,63.020833333333336,63.7425,7.916666666666667,314.3333333333333,6,Electronics,North,3,4,3,2
2022-01-01,S002,P0011,1775.4299999999998,1720,1030,52.800000000000004,53.83083333333334,13.333333333333334,256.5833333333333,8,Groceries,West,2,3,4,3
2022-01-01,S002,P0012,1403.93,1346,1047,49.604166666666664,49.89833333333333,12.083333333333334,226.08333333333334,5,Groceries,East,4,2,1,5
2022-01-01,S002,P0013,1470.3899999999999,1341,1633,56.66833333333333,56.6325,7.5,239.66666666666666,3,Clothing,East,2,4,3,3
2022-01-01,S002,P0014,2041.79,1971,1248,53.42333333333334,54.09,13.333333333333334,314.9166666666667,3,Electronics,East,2,4,1,5
2022-01-01,S002,P0015,1428.68,1369,1397,54.237500000000004,53.995000000000005,8.75,229.5,9,Toys,South,4,4,1,3
2022-01-01,S002,P0016,1550.05,1479,1235,52.22666666666667,51.90166666666667,10.0,285.3333333333333,5,Toys,South,3,2,5,2
2022-01-01,S002,P0017,1589.42,1458,1407,45.315,45.115,8.75,259.1666666666667,5,Groceries,West,5,1,3,3
2022-01-01,S002,P0018,1395.4199999999998,1369,1067,43.178333333333335,41.33583333333333,10.0,252.41666666666666,10,Groceries,North,4,2,2,4
2022-01-01,S002,P0019,1395.68,1326,1069,56.31333333333333,54.8775,10.833333333333334,310.25,4,Toys,East,3,1,3,5
2022-01-01,S002,P0020,2314.33,2304,1211,62.065,62.44416666666667,10.0,345.3333333333333,8,Toys,West,7,4,1,0
2022-01-01,S003,P0001,2357.42,2299,1394,44.71,44.2825,8.333333333333334,366.5,7,Toys,South,1,4,2,5
2022-01-01,S003,P0002,1368.3,1319,1413,42.02583333333333,40.70166666666667,10.0,199.25,4,Electronics,West,3,4,2,3
2022-01-01,S003,P0003,1240.41,1182,1328,47.82666666666666,47.291666666666664,14.583333333333334,258.1666666666667,7,Groceries,South,2,4,4,2
2022-01-01,S003,P0004,1584.56,1496,1116,50.4675,49.90166666666667,9.166666666666666,259.8333333333333,7,Toys,South,1,5,4,2
2022-01-01,S003,P0005,2017.2,1947,1171,63.30916666666667,62.86083333333334,12.083333333333334,299.0,1,Clothing,West,2,3,4,3
2022-01-01,S003,P0006,2743.89,2709,1111,68.38416666666667,68.05166666666666,12.916666666666666,320.75,9,Groceries,North,5,3,2,2
2022-01-01,S003,P0007,1937.99,1924,1251,65.7125,67.82000000000001,11.666666666666666,338.0833333333333,6,Electronics,North,1,5,1,5
2022-01-01,S003,P0008,1347.22,1290,1079,53.70583333333334,53.729166666666664,8.75,280.3333333333333,7,Toys,North,4,1,4,3
2022-01-01,S003,P0009,1444.8,1370,1466,70.7075,70.00666666666667,10.833333333333334,256.5,7,Groceries,South,3,1,7,1
2022-01-01,S003,P0010,1882.51,1871,1618,68.62666666666667,69.22333333333333,8.333333333333334,277.25,6,Groceries,South,1,2,5,4
2022-01-01,S003,P0011,2242.46,2175,1549,52.18,50.873333333333335,6.666666666666667,271.9166666666667,5,Toys,East,2,5,2,3
2022-01-01,S003,P0012,1546.41,1455,1371,43.9625,44.71,10.416666666666666,291.5833333333333,5,Electronics,North,6,2,1,3
2022-01-01,S003,P0013,1910.44,1858,1132,76.30083333333333,75.8975,13.333333333333334,261.9166666666667,5,Furniture,North,5,3,3,1
2022-01-01,S003,P0014,2476.1,2433,1414,53.36666666666667,52.91583333333333,9.166666666666666,322.25,5,Electronics,South,3,4,3,2
2022-01-01,S003,P0015,1669.59,1621,785,49.89083333333334,51.37,7.5,284.5,3,Clothing,West,1,4,5,2
2022-01-01,S003,P0016,1956.17,1857,1329,58.43416666666667,58.92250000000001,10.416666666666666,319.8333333333333,7,Groceries,South,4,5,1,2
2022-01-01,S003,P0017,1899.27,1827,1158,63.701666666666675,63.565,7.5,287.1666666666667,5,Clothing,East,4,3,3,2
2022-01-01,S003,P0018,1681.32,1646,1477,60.82416666666666,61.10166666666667,11.666666666666666,303.4166666666667,4,Toys,West,2,4,2,4
2022-01-01,S003,P0019,1877.72,1817,1317,49.37416666666667,49.556666666666665,11.666666666666666,313.9166666666667,5,Clothing,East,2,2,5,3
2022-01-01,S003,P0020,2430.4300000000003,2388,1467,68.59833333333334,68.735,10.416666666666666,352.5,4,Electronics,North,3,4,2,3
2022-01-01,S004,P0001,1479.47,1420,1421,60.902499999999996,60.51333333333333,11.666666666666666,203.66666666666666,9,Toys,South,2,3,6,1
2022-01-01,S004,P0002,2360.2999999999997,2330,1273,51.645,51.95333333333334,10.833333333333334,368.3333333333333,4,Clothing,North,2,3,4,3
2022-01-01,S004,P0003,2496.2,2456,1205,54.800000000000004,55.10583333333333,9.166666666666666,269.8333333333333,4,Clothing,West,3,2,3,4
2022-01-01,S004,P0004,957.78,925,1258,54.89083333333334,54.76499999999999,10.0,201.08333333333334,5,Groceries,West,2,3,5,2
2022-01-01,S004,P0005,1538.54,1516,1283,36.612500000000004,35.925000000000004,7.916666666666667,287.9166666666667,6,Groceries,North,4,3,2,3
2022-01-01,S004,P0006,2458.44,2412,1347,45.40416666666667,45.840833333333336,9.583333333333334,332.0,6,Electronics,East,1,5,3,3
2022-01-01,S004,P0007,2209.14,2113,1428,61.12583333333333,61.531666666666666,8.75,265.3333333333333,5,Electronics,West,3,1,5,3
2022-01-01,S004,P0008,1161.01,1082,1366,63.240833333333335,63.307500000000005,10.0,268.5,8,Furniture,South,1,5,3,3
2022-01-01,S004,P0009,1779.49,1716,1446,52.635,53.86083333333334,11.666666666666666,270.75,8,Furniture,North,2,6,2,2
2022-01-01,S004,P0010,916.36,828,1193,53.63333333333333,53.93666666666667,9.583333333333334,219.16666666666666,5,Groceries,East,1,1,6,4
2022-01-01,S004,P0011,1418.46,1334,1157,60.335,60.005,7.5,245.16666666666666,8,Electronics,West,4,3,1,4
2022-01-01,S004,P0012,1052.5900000000001,1051,1208,65.06583333333333,65.38083333333333,10.416666666666666,248.0,7,Electronics,North,3,5,2,2
2022-01-01,S004,P0013,1841.45,1804,1346,48.17416666666667,47.62583333333333,6.25,239.66666666666666,7,Furniture,East,1,7,2,2
2022-01-01,S004,P0014,1559.64,1518,1495,50.48166666666666,50.51083333333333,7.916666666666667,287.5,4,Electronics,West,2,4,3,3
2022-01-01,S004,P0015,1749.51,1726,1096,56.18666666666667,57.18333333333334,11.25,273.6666666666667,7,Clothing,South,1,6,4,1
2022-01-01,S004,P0016,1416.1599999999999,1347,1281,61.9125,62.11333333333334,12.083333333333334,250.5,7,Groceries,South,4,3,3,2
2022-01-01,S004,P0017,1338.17,1277,1347,48.56583333333333,48.17083333333333,9.166666666666666,253.08333333333334,5,Electronics,South,3,3,4,2
2022-01-01,S004,P0018,1157.59,1122,979,42.597500000000004,43.37416666666667,10.416666666666666,229.5,12,Groceries,West,5,2,4,1
2022-01-01,S004,P0019,1819.34,1727,1579,38.93083333333333,39.16916666666666,11.666666666666666,260.0833333333333,5,Groceries,West,3,5,1,3
2022-01-01,S004,P0020,1193.84,1097,1531,45.33416666666667,45.87583333333333,11.666666666666666,234.5,4,Clothing,West,2,2,2,6
2022-01-01,S005,P0001,1684.6399999999999,1618,1395,51.560833333333335,51.495000000000005,15.0,238.08333333333334,6,Toys,West,4,2,3,3
2022-01-01,S005,P0002,2212.23,2141,954,48.895833333333336,49.012499999999996,10.416666666666666,329.0833333333333,7,Clothing,West,4,3,4,1
2022-01-01,S005,P0003,1404.41,1301,1336,63.6625,64.29,6.25,281.0833333333333,9,Electronics,North,4,4,1,3
2022-01-01,S005,P0004,1908.54,1821,1475,64.29333333333334,65.28583333333334,12.5,294.75,10,Furniture,West,4,3,1,4
2022-01-01,S005,P0005,1706.27,1670,1175,57.72833333333333,55.63999999999999,10.416666666666666,229.66666666666666,10,Clothing,West,2,2,5,3
2022-01-01,S005,P0006,1864.31,1808,1628,54.09166666666667,54.600833333333334,10.0,267.25,7,Groceries,North,1,6,2,3
2022-01-01,S005,P0007,2014.43,2006,985,53.767500000000005,55.2875,7.916666666666667,274.5833333333333,7,Clothing,South,0,3,5,4
2022-01-01,S005,P0008,1978.58,1927,1493,44.08916666666667,44.45250000000001,9.583333333333334,283.4166666666667,4,Toys,West,3,3,3,3
2022-01-01,S005,P0009,1478.6599999999999,1453,1293,51.428333333333335,51.92416666666667,8.75,312.6666666666667,8,Groceries,West,4,1,3,4
2022-01-01,S005,P0010,1594.13,1547,1324,58.943333333333335,58.836666666666666,9.166666666666666,257.0833333333333,8,Clothing,East,4,3,4,1
2022-01-01,S005,P0011,1997.8700000000001,1958,1395,59.335,59.23416666666666,7.5,323.4166666666667,11,Groceries,West,1,4,1,6
2022-01-01,S005,P0012,1220.1000000000001,1123,1474,44.86333333333334,44.275,9.166666666666666,238.0,3,Electronics,West,3,2,5,2
2022-01-01,S005,P0013,1848.7,1761,1278,58.781666666666666,60.22083333333333,10.0,265.5,5,Furniture,South,5,2,3,2
2022-01-01,S005,P0014,1811.42,1747,1170,55.66416666666667,55.104166666666664,8.333333333333334,286.4166666666667,9,Electronics,South,2,2,4,4
2022-01-01,S005,P0015,2122.0,2011,1483,38.869166666666665,38.535,11.666666666666666,276.75,10,Furniture,West,3,5,3,1
2022-01-01,S005,P0016,1811.59,1766,1254,56.71416666666667,58.107499999999995,10.833333333333334,264.0833333333333,6,Clothing,South,2,1,5,4
2022-01-01,S005,P0017,2152.43,2050,1291,67.94250000000001,69.9375,8.333333333333334,309.9166666666667,6,Electronics,East,3,2,2,5
2022-01-01,S005,P0018,1893.48,1840,1299,54.95166666666666,54.619166666666665,9.583333333333334,255.58333333333334,6,Furniture,West,4,5,3,0
2022-01-01,S005,P0019,2015.25,1953,1531,48.762499999999996,47.85583333333333,10.833333333333334,271.8333333333333,4,Groceries,South,4,4,0,4
2022-01-01,S005,P0020,1474.64,1463,1265,50.6475,48.2275,9.583333333333334,261.75,3,Electronics,South,2,4,1,5
2022-02-01,S001,P0001,1811.1999999999998,1733,1230,59.129999999999995,59.2825,7.5,263.8333333333333,6,Groceries,West,5,2,3,2
2022-02-01,S001,P0002,1438.1599999999999,1330,1052,56.7225,57.805,9.583333333333334,335.0,6,Clothing,West,4,2,0,6
2022-02-01,S001,P0003,2124.12,2062,1323,52.064166666666665,52.98583333333334,12.916666666666666,276.8333333333333,7,Clothing,South,2,5,3,2
2022-02-01,S001,P0004,1949.8600000000001,1875,1230,48.517500000000005,47.45166666666666,9.166666666666666,311.8333333333333,2,Groceries,East,2,1,6,3
2022-02-01,S001,P0005,1480.41,1385,1185,46.06333333333333,45.95083333333333,10.416666666666666,262.0,5,Electronics,East,1,3,4,4
2022-02-01,S001,P0006,1311.6399999999999,1305,1203,51.26166666666666,51.365,10.0,250.5,7,Furniture,East,4,2,4,2
2022-02-01,S001,P0007,1756.9099999999999,1769,1277,59.695,59.83583333333333,9.583333333333334,306.9166666666667,6,Electronics,North,3,3,3,3
2022-02-01,S001,P0008,1598.01,1520,1274,55.469166666666666,56.33583333333333,7.916666666666667,246.66666666666666,7,Clothing,East,2,6,1,3
2022-02-01,S001,P0009,1458.2,1358,1450,39.806666666666665,40.649166666666666,12.083333333333334,206.08333333333334,6,Toys,South,3,2,3,4
2022-02-01,S001,P0010,1427.9099999999999,1405,1402,37.88333333333333,38.37166666666666,10.833333333333334,237.08333333333334,7,Clothing,North,5,0,2,5
2022-02-01,S001,P0011,1307.65,1208,1652,45.71666666666667,44.38583333333333,6.666666666666667,290.6666666666667,9,Furniture,East,6,4,1,1
2022-02-01,S001,P0012,1532.51,1481,1168,55.362500000000004,57.2775,12.083333333333334,321.9166666666667,4,Furniture,East,3,5,2,2
2022-02-01,S001,P0013,1580.02,1474,1378,47.3025,47.409166666666664,12.5,287.8333333333333,6,Toys,North,4,3,1,4
2022-02-01,S001,P0014,1841.08,1757,1241,53.07916666666667,53.42666666666667,11.666666666666666,283.25,8,Electronics,West,2,2,3,5
2022-02-01,S001,P0015,1522.97,1441,1242,61.1675,62.00833333333333,12.083333333333334,311.3333333333333,9,Electronics,East,2,4,5,1
2022-02-01,S001,P0016,1580.95,1537,1496,48.66166666666667,49.395,7.5,268.75,5,Electronics,West,2,3,3,4
2022-02-01,S001,P0017,1763.83,1673,1273,54.895,54.387499999999996,11.25,248.83333333333334,7,Furniture,West,7,1,1,3
2022-02-01,S001,P0018,2080.72,2013,1002,46.20583333333334,45.17250000000001,9.583333333333334,352.0,6,Toys,North,0,2,7,3
2022-02-01,S001,P0019,1876.08,1847,1131,46.31916666666667,45.54916666666667,7.5,262.5833333333333,8,Furniture,South,5,3,1,3
2022-02-01,S001,P0020,1711.2,1613,1333,49.623333333333335,50.979166666666664,7.5,276.5833333333333,9,Electronics,North,2,0,4,6
2022-02-01,S002,P0001,1824.53,1790,1570,39.490833333333335,39.1225,10.0,253.66666666666666,9,Electronics,West,4,5,1,2
2022-02-01,S002,P0002,1827.49,1769,1098,57.37916666666666,57.296666666666674,11.25,309.25,8,Furniture,West,5,2,3,2
2022-02-01,S002,P0003,1917.13,1882,1204,55.38999999999999,54.86083333333334,10.833333333333334,307.8333333333333,6,Groceries,West,0,6,4,2
2022-02-01,S002,P0004,1848.19,1792,1313,46.875,46.455000000000005,6.25,260.5,3,Groceries,South,2,1,6,3
2022-02-01,S002,P0005,1581.67,1492,1122,46.298333333333325,47.330000000000005,7.083333333333333,248.25,6,Groceries,North,5,5,1,1
2022-02-01,S002,P0006,1982.44,1940,886,60.69166666666666,60.17166666666666,10.0,266.4166666666667,6,Groceries,East,2,5,2,3
2022-02-01,S002,P0007,1610.1,1589,1158,65.89416666666666,64.85416666666667,7.083333333333333,251.5,7,Groceries,North,0,2,5,5
2022-02-01,S002,P0008,1069.22,966,1379,44.38333333333333,43.75333333333333,10.0,231.0,9,Electronics,North,1,0,8,3
2022-02-01,S002,P0009,2961.35,2896,1621,46.54333333333333,47.01,9.166666666666666,373.5,7,Electronics,North,1,6,0,5
2022-02-01,S002,P0010,1852.6,1806,1647,49.219166666666666,50.08916666666667,10.0,300.0,9,Groceries,West,3,2,5,2
2022-02-01,S002,P0011,1666.6,1546,1174,64.19166666666666,63.875,7.916666666666667,264.9166666666667,6,Furniture,East,4,1,2,5
2022-02-01,S002,P0012,1851.63,1782,966,50.57749999999999,51.065,11.25,282.5833333333333,7,Toys,North,4,4,4,0
2022-02-01,S002,P0013,2196.13,2175,1182,68.35916666666667,68.84166666666667,12.083333333333334,281.25,8,Toys,North,4,1,2,5
2022-02-01,S002,P0014,1770.76,1739,1439,47.38166666666666,47.58166666666667,11.666666666666666,260.25,3,Furniture,West,3,3,3,3
2022-02-01,S002,P0015,990.96,900,1487,61.7925,63.524166666666666,11.25,256.5,6,Toys,North,2,4,3,3
2022-02-01,S002,P0016,1326.23,1291,1348,57.92666666666667,57.310833333333335,10.0,313.3333333333333,7,Toys,West,3,2,4,3
2022-02-01,S002,P0017,1515.43,1494,1307,61.07666666666666,60.10333333333333,8.75,241.41666666666666,5,Clothing,West,3,4,3,2
2022-02-01,S002,P0018,1611.77,1529,1134,67.75750000000001,68.85000000000001,12.916666666666666,196.5,6,Groceries,East,2,3,2,5
2022-02-01,S002,P0019,1972.68,1987,1282,52.665,53.72666666666667,9.166666666666666,266.9166666666667,9,Toys,East,4,3,4,1
2022-02-01,S002,P0020,2244.34,2231,1000,65.01833333333333,65.38000000000001,5.416666666666667,358.25,9,Clothing,South,4,2,2,4
2022-02-01,S003,P0001,1798.47,1707,1390,65.48666666666666,65.61083333333333,9.583333333333334,254.33333333333334,2,Toys,West,7,1,3,1
2022-02-01,S003,P0002,1891.1299999999999,1770,1816,61.92916666666667,61.32416666666666,9.166666666666666,273.5,4,Groceries,East,3,4,1,4
2022-02-01,S003,P0003,666.4300000000001,618,1215,60.00583333333333,60.77166666666667,8.75,236.91666666666666,6,Toys,East,3,2,2,5
2022-02-01,S003,P0004,1397.04,1345,1017,58.9425,60.2425,10.416666666666666,216.5,7,Furniture,West,2,2,5,3
2022-02-01,S003,P0005,2265.85,2215,1594,52.845,52.7425,9.166666666666666,310.0,4,Furniture,East,3,3,1,5
2022-02-01,S003,P0006,996.37,924,1055,51.235833333333325,51.08583333333333,8.333333333333334,220.75,5,Groceries,East,5,3,4,0
2022-02-01,S003,P0007,1873.5500000000002,1856,1177,51.09916666666666,50.053333333333335,11.25,289.5,2,Electronics,West,4,3,3,2
2022-02-01,S003,P0008,1391.6399999999999,1324,1000,65.81416666666667,65.53583333333334,8.75,240.91666666666666,2,Clothing,South,4,5,2,1
2022-02-01,S003,P0009,1854.6399999999999,1791,1474,57.52916666666667,57.70583333333334,10.833333333333334,279.5,5,Electronics,West,6,2,3,1
2022-02-01,S003,P0010,1737.71,1644,1115,65.5425,66.12833333333333,8.333333333333334,242.41666666666666,6,Furniture,West,3,4,1,4
2022-02-01,S003,P0011,1319.0,1207,1332,48.348333333333336,47.79,10.833333333333334,236.91666666666666,6,Furniture,South,5,5,2,0
2022-02-01,S003,P0012,2606.17,2588,1546,50.13833333333333,50.48,9.583333333333334,311.5,8,Groceries,West,4,5,2,1
2022-02-01,S003,P0013,2185.64,2157,1351,51.95166666666666,52.26833333333334,9.583333333333334,341.3333333333333,8,Electronics,West,2,3,1,6
2022-02-01,S003,P0014,1940.41,1891,1187,57.10583333333333,56.395,7.916666666666667,323.75,6,Toys,North,2,1,6,3
2022-02-01,S003,P0015,1720.3400000000001,1654,1573,62.44916666666666,60.92666666666667,11.666666666666666,276.4166666666667,8,Electronics,East,2,2,7,1
2022-02-01,S003,P0016,1618.07,1552,1557,52.737500000000004,51.25083333333333,12.916666666666666,291.8333333333333,5,Clothing,South,1,6,1,4
2022-02-01,S003,P0017,1812.35,1714,1235,52.189166666666665,50.405833333333334,7.083333333333333,307.5833333333333,6,Toys,South,2,1,4,5
2022-02-01,S003,P0018,2083.75,1949,1025,44.02666666666667,44.07916666666667,9.583333333333334,285.75,2,Toys,East,5,6,0,1
2022-02-01,S003,P0019,1462.21,1381,1258,57.04916666666667,55.48416666666666,10.0,203.83333333333334,6,Furniture,North,2,3,1,6
2022-02-01,S003,P0020,864.47,853,1553,48.732499999999995,47.708333333333336,8.75,211.0,7,Electronics,East,6,4,1,1
2022-02-01,S004,P0001,1603.56,1541,1218,57.06166666666667,56.06583333333333,10.0,246.41666666666666,2,Electronics,North,1,5,3,3
2022-02-01,S004,P0002,1617.47,1594,1320,54.855,54.26166666666666,9.166666666666666,237.0,6,Electronics,East,5,2,1,4
2022-02-01,S004,P0003,1525.36,1452,1133,53.57833333333334,52.93833333333333,10.416666666666666,269.75,7,Clothing,East,4,3,2,3
2022-02-01,S004,P0004,1331.34,1257,1368,60.27,59.501666666666665,10.833333333333334,229.25,5,Groceries,East,1,3,3,5
2022-02-01,S004,P0005,1815.83,1777,1353,56.97416666666666,56.42916666666667,8.75,225.66666666666666,7,Toys,West,4,1,4,3
2022-02-01,S004,P0006,1740.46,1725,1397,59.23,59.109166666666674,10.833333333333334,260.8333333333333,3,Toys,East,6,3,2,1
2022-02-01,S004,P0007,1339.67,1289,1405,56.20916666666667,55.385,9.583333333333334,248.41666666666666,4,Furniture,West,5,2,3,2
2022-02-01,S004,P0008,1043.71,1021,1091,65.8075,65.08166666666666,10.833333333333334,289.1666666666667,5,Toys,South,3,1,5,3
2022-02-01,S004,P0009,1463.88,1373,1054,46.95583333333334,46.58083333333334,11.25,250.58333333333334,5,Furniture,South,2,1,4,5
2022-02-01,S004,P0010,2545.91,2460,1443,52.781666666666666,52.83916666666667,13.75,326.5833333333333,5,Groceries,South,4,1,3,4
2022-02-01,S004,P0011,2190.2,2107,1343,63.79,63.45166666666666,12.5,343.0833333333333,5,Toys,East,1,4,5,2
2022-02-01,S004,P0012,1516.46,1421,1351,44.655,44.63916666666666,11.25,275.75,5,Groceries,South,2,2,2,6
2022-02-01,S004,P0013,2135.55,2065,1402,51.449999999999996,52.012499999999996,12.083333333333334,312.5,9,Clothing,West,3,3,3,3
2022-02-01,S004,P0014,2120.56,2034,1238,73.04,72.18583333333333,6.666666666666667,370.1666666666667,5,Electronics,East,2,5,3,2
2022-02-01,S004,P0015,1334.87,1290,988,59.645,60.00583333333333,9.583333333333334,272.0833333333333,5,Toys,North,4,3,4,1
2022-02-01,S004,P0016,1631.41,1562,1515,66.89333333333333,68.16,8.75,289.0,8,Clothing,West,4,2,4,2
2022-02-01,S004,P0017,1689.58,1655,1560,63.07583333333333,64.31333333333333,10.0,258.1666666666667,3,Electronics,South,3,4,4,1
2022-02-01,S004,P0018,1098.3400000000001,996,1372,62.76416666666666,61.23333333333333,11.666666666666666,193.0,7,Furniture,South,3,1,2,6
2022-02-01,S004,P0019,1480.27,1445,1245,46.379999999999995,46.815,10.416666666666666,237.91666666666666,7,Groceries,North,1,4,4,3
2022-02-01,S004,P0020,1988.65,1963,1456,63.51166666666666,63.61083333333334,10.833333333333334,282.8333333333333,4,Electronics,North,7,3,0,2
2022-02-01,S005,P0001,1298.18,1241,1495,58.078333333333326,58.9975,13.333333333333334,218.83333333333334,4,Groceries,East,3,4,4,1
2022-02-01,S005,P0002,982.75,892,1187,57.87583333333333,56.56,10.416666666666666,166.75,8,Furniture,West,4,2,3,3
2022-02-01,S005,P0003,1730.6399999999999,1670,1533,59.24583333333334,58.494166666666665,7.5,259.5,6,Toys,West,3,4,1,4
2022-02-01,S005,P0004,974.93,911,1067,51.009166666666665,51.835,7.5,259.0,8,Groceries,North,2,1,7,2
2022-02-01,S005,P0005,1597.3,1508,1542,47.796666666666674,48.4575,8.333333333333334,285.5,7,Furniture,West,3,4,2,3
2022-02-01,S005,P0006,1662.22,1604,1104,62.050000000000004,61.865833333333335,10.416666666666666,262.4166666666667,8,Clothing,North,4,4,3,1
2022-02-01,S005,P0007,1431.8400000000001,1390,1150,57.142500000000005,56.54416666666666,11.666666666666666,248.83333333333334,6,Clothing,East,2,4,2,4
2022-02-01,S005,P0008,2076.42,2048,1172,50.30166666666667,50.71333333333333,10.0,311.1666666666667,7,Furniture,East,4,3,3,2
2022-02-01,S005,P0009,1829.1,1755,1562,58.00333333333333,57.635,12.5,256.0,3,Electronics,West,5,2,3,2
2022-02-01,S005,P0010,1637.81,1605,1237,49.645833333333336,49.0825,8.333333333333334,321.3333333333333,8,Furniture,West,3,2,2,5
2022-02-01,S005,P0011,1872.26,1827,1733,52.538333333333334,53.350833333333334,6.666666666666667,236.41666666666666,9,Electronics,East,3,3,2,4
2022-02-01,S005,P0012,1591.21,1559,1282,45.538333333333334,45.79583333333333,12.916666666666666,220.0,3,Toys,West,3,7,0,2
2022-02-01,S005,P0013,1597.86,1536,1369,63.94583333333333,63.02166666666667,10.833333333333334,293.1666666666667,6,Furniture,East,3,1,5,3
2022-02-01,S005,P0014,1781.3,1671,967,33.50666666666667,33.6925,11.666666666666666,244.0,5,Toys,South,5,2,4,1
2022-02-01,S005,P0015,1435.25,1366,1091,58.9325,58.45666666666667,12.5,250.75,6,Clothing,West,3,4,1,4
2022-02-01,S005,P0016,2283.64,2193,1213,55.54583333333333,55.91916666666666,9.166666666666666,298.0833333333333,6,Groceries,East,2,1,1,8
2022-02-01,S005,P0017,1932.98,1897,1290,59.215833333333336,58.77583333333333,14.583333333333334,262.1666666666667,7,Toys,North,5,1,2,4
2022-02-01,S005,P0018,1288.76,1211,1403,46.92249999999999,47.050000000000004,11.25,158.08333333333334,4,Clothing,West,3,5,1,3
